frame_index,stamp_sec,stamp_nsec,base_link_x,base_link_y,base_link_yaw,base_link_op_x,base_link_op_y,base_link_op_yaw
258,11311,526000000,3.805229,3.387168,0.963719,4.265266,-4.406670,2.098975
259,11311,626000000,3.860025,3.471452,0.963694,4.227513,-4.351465,2.159739
260,11311,726000000,3.915451,3.555140,0.963749,4.181745,-4.297789,2.227141
261,11311,826000000,3.954627,3.658552,0.974006,4.122043,-4.225069,2.264744
262,11311,927000000,4.009952,3.742087,0.981546,4.056895,-4.150716,2.288910
263,11312,26000000,4.061359,3.828020,1.089608,3.986737,-4.077256,2.364609
264,11312,126000000,4.098768,3.921126,1.258093,3.924647,-4.024048,2.445893
265,11312,226000000,4.104091,4.012160,1.451925,3.845727,-3.963121,2.506141
266,11312,326000000,4.104818,4.113772,1.525910,3.781903,-3.922642,2.559257
267,11312,427000000,4.104879,4.215033,1.525915,3.698132,-3.870716,2.584767
268,11312,527000000,4.086534,4.324585,1.529544,3.619654,-3.807037,2.586679
269,11312,626000000,4.088376,4.425211,1.529543,3.531315,-3.755922,2.634321
270,11312,726000000,4.090867,4.525643,1.529543,3.462162,-3.722957,2.691650
271,11312,826000000,4.077313,4.614687,1.533148,3.372050,-3.682984,2.733842
272,11312,926000000,4.076423,4.714919,1.634007,3.283402,-3.622684,2.753174
273,11313,26000000,4.036848,4.823376,1.819593,3.188440,-3.587029,2.784726
274,11313,126000000,3.995869,4.926392,2.006639,3.083014,-3.550572,2.819614
275,11313,227000000,3.923424,5.013327,2.013458,2.979964,-3.528879,2.882488
276,11313,326000000,3.876715,5.102756,2.013625,2.880136,-3.506882,2.926390
277,11313,426000000,3.831076,5.192449,2.013593,2.779915,-3.487578,2.939414
278,11313,527000000,3.767122,5.288591,2.014337,2.689103,-3.470149,2.938415
279,11313,626000000,3.722420,5.378412,2.039914,2.589473,-3.450641,2.942793
280,11313,726000000,3.671315,5.464693,2.167438,2.489930,-3.432021,2.954591
281,11313,826000000,3.608557,5.533149,2.334619,2.390413,-3.414526,2.968270
282,11313,927000000,3.530679,5.597617,2.496474,2.282134,-3.403746,2.985160
283,11314,26000000,3.419144,5.649895,2.624935,2.182574,-3.388912,2.983748
284,11314,126000000,3.328524,5.695613,2.625192,2.083345,-3.372971,2.970730
285,11314,227000000,3.237489,5.740984,2.625167,1.983149,-3.370129,2.949955
286,11314,326000000,3.145352,5.787565,2.622078,1.885667,-3.347560,2.873507
287,11314,426000000,3.057333,5.836041,2.622095,1.820561,-3.323566,2.803147
288,11314,526000000,2.969789,5.884980,2.626139,1.737261,-3.270008,2.719029
289,11314,626000000,2.872975,5.926032,2.720631,1.676504,-3.235799,2.645208
290,11314,727000000,2.778426,5.959090,2.859083,1.614225,-3.196305,2.580782
291,11314,827000000,2.676177,5.974776,2.858596,1.540407,-3.163879,2.561275
292,11314,927000000,2.579265,6.000667,2.858605,1.461523,-3.109483,2.541487
293,11315,26000000,2.482566,6.027049,2.858596,1.382341,-3.050190,2.483012
294,11315,126000000,2.394196,6.058759,2.851361,1.287571,-2.999775,2.430301
295,11315,227000000,2.298009,6.086554,2.851382,1.233367,-2.945831,2.376008
